price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
4522946.98,2800.0,44992,32767,5420988125,2800,1,False,2019-05-12 06:41:58.000,90,60003760,10000002,30000142,0,
4522949.0,379.0,44992,32767,5422061060,379,1,False,2019-05-12 04:44:56.000,30,60003760,10000002,30000142,0,
4524847.0,2310.0,44992,32767,5415998297,5000,1,False,2019-05-04 06:06:30.000,90,1028858195912,10000002,30000144,1,
4524998.0,5300.0,44992,32767,5415998907,5800,1,False,2019-05-04 06:06:10.000,90,1028858195912,10000002,30000144,1,
4524998.0,3604.0,44992,32767,5415998505,5000,1,False,2019-05-04 06:06:21.000,90,1028858195912,10000002,30000144,1,
4529800.0,500.0,44992,32767,5424252591,500,1,False,2019-05-15 10:48:35.000,90,60003760,10000002,30000142,0,
4539980.0,6060.0,44992,32767,5420967062,6060,1,False,2019-05-10 20:21:51.000,90,60003760,10000002,30000142,0,
4546999.0,1000.0,44992,32767,5420760254,1000,1,False,2019-05-10 15:18:03.000,90,60003760,10000002,30000142,0,
4548050.0,2020.0,44992,32767,5415936836,2020,1,False,2019-05-03 19:47:57.000,90,1028858195912,10000002,30000144,1,
4548099.99,2500.0,44992,32767,5392514818,2500,1,False,2019-03-30 00:00:35.000,90,1028858195912,10000002,30000144,1,
4550000.0,4.0,44992,32767,5421295558,10,1,False,2019-05-11 07:55:31.000,7,60015027,10000002,30030141,4,
4556999.0,500.0,44992,32767,5420697187,500,1,False,2019-05-10 13:38:34.000,90,60003760,10000002,30000142,0,
4569980.0,2020.0,44992,32767,5420566183,2020,1,False,2019-05-10 12:07:36.000,90,60003760,10000002,30000142,0,
4577980.0,3030.0,44992,32767,5416735801,3030,1,False,2019-05-10 08:56:09.000,90,60003760,10000002,30000142,0,
4577999.99,1000.0,44992,32767,5420501421,1000,1,False,2019-05-10 05:59:10.000,90,60003760,10000002,30000142,0,
4587000.0,100.0,44992,32767,5416242307,600,1,False,2019-05-04 07:04:37.000,90,60003760,10000002,30000142,0,
4587030.01,500.0,44992,32767,5416660456,500,1,False,2019-05-04 18:22:46.000,90,60003760,10000002,30000142,0,
4589058.99,187.0,44992,32767,5416065861,1110,1,False,2019-05-03 23:51:17.000,90,60003760,10000002,30000142,0,
4589059.0,10.0,44992,32767,5416057468,10,1,False,2019-05-03 23:28:24.000,90,60003760,10000002,30000142,0,
4599999.99,1176.0,44992,32767,5415994816,1176,1,False,2019-05-08 02:15:41.000,90,1028858195912,10000002,30000144,1,
4600000.95,200.0,44992,32767,5419439743,200,1,False,2019-05-08 16:36:21.000,90,60004237,10000002,30000129,3,
4605000.0,240.0,44992,32767,5423633887,240,1,False,2019-05-14 10:32:07.000,30,60003760,10000002,30000142,0,
4644980.0,3030.0,44992,32767,5416220970,3030,1,False,2019-05-09 20:02:51.000,90,60003760,10000002,30000142,0,
4645103.0,939.0,44992,32767,5415915942,1100,1,False,2019-05-03 19:13:49.000,90,60003760,10000002,30000142,0,
4689980.0,1196.0,44992,32767,5415847482,1212,1,False,2019-05-09 20:03:01.000,90,60003760,10000002,30000142,0,
4689999.97,1000.0,44992,32767,5387344650,1000,1,False,2019-03-29 18:38:26.000,90,60003760,10000002,30000142,0,
4700000.0,250.0,44992,32767,5425023162,250,1,False,2019-05-16 14:56:09.000,90,60003760,10000002,30000142,0,
4749980.0,1212.0,44992,32767,5415847335,1212,1,False,2019-05-03 18:08:03.000,90,60003760,10000002,30000142,0,
4789880.0,6565.0,44992,32767,5415935203,6565,1,False,2019-05-03 19:45:09.000,90,60003760,10000002,30000142,0,
4789890.0,6060.0,44992,32767,5415641190,6060,1,False,2019-05-03 11:26:58.000,90,60003760,10000002,30000142,0,
4789890.0,3030.0,44992,32767,5416735636,3030,1,False,2019-05-09 20:03:14.000,90,60003760,10000002,30000142,0,
4789899.0,15483.0,44992,32767,5410592290,15483,1,False,2019-04-30 16:08:37.000,90,60003760,10000002,30000142,0,
4790000.0,10.0,44992,32767,5420552753,10,1,False,2019-05-10 08:24:30.000,90,60003760,10000002,30000142,0,
4799990.0,4040.0,44992,32767,5415936832,4040,1,False,2019-05-03 19:47:57.000,90,1028858195912,10000002,30000144,1,
